DEPARTAMENTO;CATEGORIA;PORCENTAJE;SUCURSAL;AÑO
PRODUCTOS ESTANDAR;ESPEJOS ECO;1,25%;LA GUAIRA;2026
PRODUCTOS ESTANDAR;PUERTAS DE DUCHA ECO;0,37%;LA GUAIRA;2026
PRODUCTOS ESTANDAR;PUERTAS ECO;0,85%;LA GUAIRA;2026
PRODUCTOS ESTANDAR;PERSIANAS ECO;0,45%;LA GUAIRA;2026
PRODUCTOS ESTANDAR;TOLDO ECO;0,09%;LA GUAIRA;2026
PUERTAS EXTERIORES;PUERTA BATIENTE ENMARCADA;2,27%;LA GUAIRA;2026
PUERTAS EXTERIORES;PUERTA BANCARIA TIPO P;0,49%;LA GUAIRA;2026
PUERTAS EXTERIORES;VENTANA Y PUERTA SANARE;0,01%;LA GUAIRA;2026
PUERTAS INTERIORES;SISTEMA PUERTA TODOVISION;0,13%;LA GUAIRA;2026
PUERTAS INTERIORES;SISTEMA PUERTA PLEGABLE;0,05%;LA GUAIRA;2026
PUERTAS INTERIORES;PLEGABLE;0,00%;LA GUAIRA;2026
PUERTAS INTERIORES;SISTEMA PUERTA TODOVISION SUPERFICIAL;0,03%;LA GUAIRA;2026
PUERTAS INTERIORES;SISTEMA PUERTA MINI EURO PIVOT;0,01%;LA GUAIRA;2026
PUERTAS INTERIORES;SISTEMA PUERTA EURO PIVOT;0,01%;LA GUAIRA;2026
BARANDAS;BARANDA BASTONES A PRESION;0,27%;LA GUAIRA;2026
BARANDAS;BARANDA SEPARADORES;0,04%;LA GUAIRA;2026
BARANDAS;BARANDA INOX;0,04%;LA GUAIRA;2026
BARANDAS;BARANDA ZOCALO;0,03%;LA GUAIRA;2026
BARANDAS;BARANDA BASTONES PERFORACION;0,00%;LA GUAIRA;2026
PUERTAS DE BAÑO;PUERTA DE DUCHA  BATIENTE;0,57%;LA GUAIRA;2026
PUERTAS DE BAÑO;TABIQUE DE BAÑOS MACHIMBRADO;1,17%;LA GUAIRA;2026
PUERTAS DE BAÑO;PUERTA DE BAÑO TEMPLEX;0,39%;LA GUAIRA;2026
PUERTAS DE BAÑO;PUERTA DE BAÑO ACRILICO;0,30%;LA GUAIRA;2026
PUERTAS DE BAÑO;PUERTA DE DUCHA SLIDER TUBO RECTANGULAR;0,16%;LA GUAIRA;2026
PUERTAS DE BAÑO;PUERTA SLIDER TUBO REDONDO;0,13%;LA GUAIRA;2026
PUERTAS DE BAÑO;PUERTA DE DUCHA SLIDER TUBO RECTANGULAR PLUS;0,08%;LA GUAIRA;2026
VIDRIOS;VIDRIO MONOLITICO;23,68%;LA GUAIRA;2026
VIDRIOS;VIDRIO LAMINADO Y ESPECIALES;1,26%;LA GUAIRA;2026
SIL Y SELL;SILICONES Y SELLADORES SIMBI;2,34%;LA GUAIRA;2026
HERRAMIENTAS;HERRAMIENTAS HOTECHE;0,38%;LA GUAIRA;2026
HERRAMIENTAS;HERRAMIENTAS HARDEN;0,09%;LA GUAIRA;2026
HERRAMIENTAS;HERRAMIENTAS;0,03%;LA GUAIRA;2026
IMPULSO;TORNILLOS Y RAMPLUGS;0,66%;LA GUAIRA;2026
IMPULSO;REMACHES;0,15%;LA GUAIRA;2026
IMPULSO;MECHAS Y PUNTAS;0,18%;LA GUAIRA;2026
IMPULSO;SILICONES DE IMPULSO;0,20%;LA GUAIRA;2026
IMPULSO;REGATONES;0,00%;LA GUAIRA;2026
IMPULSO;SPRAY;0,03%;LA GUAIRA;2026
CERRADURAS Y CANDADOS;CERRADURAS Y CANDADO;0,23%;LA GUAIRA;2026
CERRADURAS Y CANDADOS;CERRADURAS Y CANDADO CISA;0,00%;LA GUAIRA;2026
